"Publisher","Journal Title","eISSN","eISSN Link","Discount or Waiver","Campuses Covered","Coverage Years","Link to Agreement Info"
"American Chemical Society (ACS)","Eligible ACS hybrid journals (search the ACS Journal Finder for title-level eligibility)","","","100% APC waiver","Evanston, Chicago","1/1/2026 - ongoing","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Association for Computing Machinery (ACM)","ACM journals, magazines, and conference proceedings where ACM manages production and rights","","","100% APC waiver","Evanston, Chicago","1/1/2024 - 1/1/2027","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cambridge University Press","Cambridge Gold Open Access journals (excludes PMLA, Behavioral and Brain Sciences, and two Annales titles)","","","100% APC waiver (Gold OA)","Evanston, Chicago","1/1/2024 - 12/31/2026","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cogitatio Press","Media and Communication","2183-2439","https://portal.issn.org/resource/ISSN/2183-2439","100% APC waiver","Evanston, Chicago","1/1/2023 - 12/31/2025","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cogitatio Press","Ocean and Society","2976-0925","https://portal.issn.org/resource/ISSN/2976-0925","100% APC waiver","Evanston, Chicago","1/1/2023 - 12/31/2025","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cogitatio Press","Politics and Governance","2183-2463","https://portal.issn.org/resource/ISSN/2183-2463","100% APC waiver","Evanston, Chicago","1/1/2023 - 12/31/2025","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cogitatio Press","Social Inclusion","2183-2803","https://portal.issn.org/resource/ISSN/2183-2803","100% APC waiver","Evanston, Chicago","1/1/2023 - 12/31/2025","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cogitatio Press","Urban Planning","2183-7635","https://portal.issn.org/resource/ISSN/2183-7635","100% APC waiver","Evanston, Chicago","1/1/2023 - 12/31/2025","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cold Spring Harbor Laboratory Press","Genes & Development","1549-5477","https://portal.issn.org/resource/ISSN/1549-5477","100% APC waiver","Evanston, Chicago","8/1/2025 - 12/31/2026","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cold Spring Harbor Laboratory Press","Genome Research","1549-5469","https://portal.issn.org/resource/ISSN/1549-5469","100% APC waiver","Evanston, Chicago","8/1/2025 - 12/31/2026","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cold Spring Harbor Laboratory Press","RNA","1469-9001","https://portal.issn.org/resource/ISSN/1469-9001","100% APC waiver","Evanston, Chicago","8/1/2025 - 12/31/2026","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"Cold Spring Harbor Laboratory Press","Learning & Memory","1549-5485","https://portal.issn.org/resource/ISSN/1549-5485","100% APC waiver","Evanston, Chicago","8/1/2025 - 12/31/2026","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"The Company of Biologists","Development","1477-9129","https://portal.issn.org/resource/ISSN/1477-9129","100% APC waiver","Evanston","1/1/2023 - ongoing","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"The Company of Biologists","Journal of Cell Science","1477-9137","https://portal.issn.org/resource/ISSN/1477-9137","100% APC waiver","Evanston","1/1/2023 - ongoing","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
"The Company of Biologists","Journal of Experimental Biology","1477-9145","https://portal.issn.org/resource/ISSN/1477-9145","100% APC waiver","Evanston","1/1/2023 - ongoing","https://www.library.northwestern.edu/use-the-libraries/research-teaching/open-access-publishing/"
